Tour,City
Spring 2007,"Farmington, New Mexico, USA"
Spring 2007,"Tucson, Arizona, USA"
Spring 2007,"Dallas, Texas, USA"
Spring 2007,"Baton Rouge, Louisiana, USA"
Spring 2007,"New Orleans, Louisiana, USA"
Spring 2007,"Nashville, Tennessee, USA"
Spring 2007,"Chattahoochee Valley, Georgia / Alabama, USA"
Spring 2007,"Venice, Florida, USA"
Spring 2007,"Antwerpen, Belgium"
Spring 2007,"Utrecht, Netherlands"
Spring 2007,"Leipzig, Germany"
Spring 2007,"Bremen, Germany"
Spring 2007,"Gothenburg, Sweden"
Spring 2007,"Rosilkde, Denmark"
Spring 2007,"Chang Mai, Thailand"
Spring 2007,"Bangkok, Thailand"
Fall 2007,"Tucson, Arizona, USA"
Fall 2007,Thailand
Fall 2007,"Espoo, Finland"
Fall 2007,"Sodertalje, Sweden"
Fall 2007,"Vimmerby, Sweden"
Fall 2007,"Uelzen, Germany"
Fall 2007,"Erfurt, Germany"
Fall 2007,"Hasselt, Belgium"
Fall 2007,"Gwinnett County, Georgia, USA"
Fall 2007,"Winston-Salem, North Carolina, USA"
Fall 2007,"Easton, Maryland, USA"
Fall 2007,"Woonsocket, Rhode Island, USA"
Fall 2007,"Hartford, Connecticut, USA"
Fall 2007,"Suffern, New York, USA"
Fall 2007,"Somerset Hills, New Jersey, USA"
Fall 2007,"Bangor, Maine, USA"
Fall 2007,"Tucson, Arizona, USA"
Fall 2007,"Globe, Arizona, USA"
Fall 2007,"Sierra Vista, Arizona, USA"
Fall 2007,"San Diego, California, USA"
Fall 2007,"Corcocan, California, USA"
Fall 2007,"Redding, California, USA"
Fall 2007,"Eureka, California, USA"
Fall 2007,"Coos Bay / North Bend, Oregon, USA"
Fall 2007,"Portland, Oregon, USA"
Fall 2007,"Las Vegas, Nevada, USA"
Fall 2007,"Gallup, New Mexico, USA"
Fall 2007,"Milano, Italy"
Fall 2007,"Luzern, Switzerland"
Fall 2007,"Zell, Germany"
Fall 2007,"Prenzlau, Germany"
Fall 2007,"Dronten, Netherlands"
Fall 2007,"Leuven, Belgium"
Fall 2007,"Manila, Philippines"
Spring 2008,"Denver, Colorado, USA"
Spring 2008,"Lincoln, Nebraska, USA"
Spring 2008,"Maquoketa, Iowa, USA"
Spring 2008,"Des Moines, Iowa, USA"
Spring 2008,"Muscantine, Iowa, USA"
Spring 2008,"Burlington, Wisconsin, USA"
Spring 2008,"Chicago, Illinois, USA"
Spring 2008,"St. Joseph, Missouri, USA"
Spring 2008,"Enid, Oklahoma, USA"
Spring 2008,"Brenham, Texas, USA"
Spring 2008,"Monterrey, Mexico"
Spring 2008,"Mexico City, Mexico"
Spring 2008,"Puebla, Mexico"
Spring 2008,"San Luis Potosi, Mexico"
Spring 2008,"New Braunfels, Texas, USA"
Spring 2008,"The Woodlands, Texas, USA"
Spring 2008,"Plano, Texas, USA"
Spring 2008,"Chiang Rai, Thailand"
Spring 2008,"Khon Kaen, Thailand"
Fall 2008,"Denver, Colorado, USA"
Fall 2008,"Breckenridge, Colorado, USA"
Fall 2008,"LaPaz, Mexico"
Fall 2008,"Cabo, Mexico"
Fall 2008,"Tepic, Mexico"
Fall 2008,"Culiacan, Mexico"
Fall 2008,"Hermosillo, Mexico"
Fall 2008,"Sahuarita / Green Valley, Arizona, USA"
Fall 2008,"Albuquerque, New Mexico, USA"
Fall 2008,"Colorado Springs, Colorado, USA"
Fall 2008,"Salt Lake City, Utah, USA"
Fall 2008,"Cheyenne, Wyoming, USA"
Fall 2008,"Aberdeen, South Dakota, USA"
Fall 2008,"Sioux Falls, South Dakota, USA"
Fall 2008,"North Platte, Nebraska, USA"
Fall 2008,"Manila, Philippines"
Fall 2008,"Subic Bay, Philippines"
Spring 2009,"Denver, Colorado, USA"
Spring 2009,"Greeley, Colorado, USA"
Spring 2009,"North Miami, Florida, USA"
Spring 2009,"St. Augustine, Florida, USA"
Spring 2009,"Orlando, Florida, USA"
Spring 2009,"Dade City / Zephyrills, Florida, USA"
Spring 2009,"Pensacola, Florida, USA"
Spring 2009,"Bay St. Louis / Waveland, Mississippi, USA"
Spring 2009,"DeRidder, Louisiana, USA"
Spring 2009,"Tyler, Texas, USA"
Spring 2009,"Taipei, Taiwan"
Spring 2009,"Taichung, Taiwan"
Spring 2009,"Forest Home Camp – Vista, California, USA"
Spring 2009,"San Diego, California, USA"
Spring 2009,"Tucson, Arizona, USA"
Spring 2009,"Kayenta, Arizona, USA"
Spring 2009,"Hopi Reservation – 2nd Mesa, Arizona, USA"
Spring 2009,"Gallup, New Mexico, USA"
Spring 2009,"Tucson, Arizona, USA"
Spring 2009,"McAllen, Texas, USA"
Fall 2009,"Denver, Colorado, USA"
Fall 2009,"Aspen / Snowmass, Colorado, USA"
Fall 2009,"Montrose, Colorado, USA"
Fall 2009,"Durango, Colorado, USA"
Fall 2009,"Lake Havasu City, Arizona, USA"
Fall 2009,"Chino Valley, Arizona, USA"
Fall 2009,"Guadalajara, Mexico"
Fall 2009,"Leon, Mexico"
Fall 2009,"Veracruz, Mexico"
Fall 2009,"Puebla, Mexico"
Fall 2009,"Mexico City, Mexico"
Fall 2009,"Lulea, Sweden"
Fall 2009,"Sundsvall, Sweden"
Fall 2009,"Stockholm, Sweden"
Fall 2009,"Vanersborg, Sweden"
Fall 2009,"Denmark, Germany"
Fall 2009,"Warsaw, Poland"
Fall 2009,"Zabrze, Poland"
Fall 2009,"Odense, Denmark"
Fall 2009,"Varberg, Sweden"
Fall 2009,"Uppsala, Sweden"
Fall 2009,"Tampere, Finland"
Spring 2010,"Denver, Colorado, USA"
Spring 2010,"Fort Collins, Colorado, USA"
Spring 2010,"Colorado Springs, Colorado, USA"
Spring 2010,"Vermillion, South Dakota, USA"
Spring 2010,"North Platte, Nebraska, USA"
